Claim Number,City Code,City,Enterprise Type,Claim Type,Claim Site,Product Insured
U5B3AZLHW7,BHO,Bhopal,Joint-Venture Company,Property Damage,Warehouse,Misc. Electronic Items
HC65GHC1NX,BDQ,Vadodara,Sole Proprietorship,Property Loss,Warehouse,Misc. Sensors
7QN0BFGRV7,DEL,Delhi,Sole Proprietorship,Property Loss,Other,Furniture
AA3SDQSKPH,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Raw Material
N4B3UNFWHX,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Raw Material
B5FHQ96GRD,JAI,Jaipur,Private Ltd. MSME - Micro,Property Loss,In Transit,Fixtures
EJ10RFX2UP,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
YKR7G5OO4C,KNU,Kanpur,Partnership Firm,Property Loss,In Transit,Misc. Electrical Equipment
IU10ST543P,HYD,Hyderabad,Foreign Subsidary,Property Damage,In Transit,Misc. Electronic Items
64EM85M3AQ,LKO,Lucknow,Private Ltd. MSME - Medium,Property Loss,In Transit,Misc. Engineering Tools
NUQXZ0IVSM,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Fixtures
0PDPDA7UEI,NGP,Nagpur,Limited Liability Parterneship (LLP),Property Damage,Warehouse,Inventory - Raw Material
EGRDV123PS,VSK,Visakhapatnam,Public Limited Company,Property Damage,In Transit,Inventory - Raw Material
X96G5PET46,DEL,Delhi,Foreign Subsidary,Property Loss,In Transit,Misc. Electrical Equipment
WBUEFLX60B,THN,Thane,One Person Company,Property Loss,In Transit,Inventory - Raw Material
YDNPF47VSA,JAI,Jaipur,Limited Liability Parterneship (LLP),Property Loss,Warehouse,Misc. Lab Equipment
CRREC8TVMV,LKO,Lucknow,Partnership Firm,Property Damage,In Transit,Inventory - Finished Goods
JFAIHEVRDD,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
SI3KINFQPN,THN,Thane,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
EXR9FT5KQM,ATQ,Amritsar,Private Limited Company,Property Damage,In Transit,Inventory - Finished Goods
SJBQDG42FJ,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
C3MIL17019,VSK,Visakhapatnam,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
5ZWUFNHW6K,BOM,Mumbai,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
RB6KHC0URL,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
10K3IRYPH3,MAA,Chennai,Sole Proprietorship,Property Damage,Warehouse,Furniture
KGSQ773D72,AGR,Agra,One Person Company,Property Damage,In Transit,Furniture
598QSQHMA4,BOM,Mumbai,Joint-Venture Company,Property Damage,In Transit,Misc. Engineering Tools
C825N7VS64,JAI,Jaipur,Private Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
Q988LUKKBC,LKO,Lucknow,Non-Profit Organization (NPO),Property Damage,Warehouse,Furniture
HKULEYME3A,NGP,Nagpur,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
B1FASB73B2,THN,Thane,One Person Company,Property Loss,In Transit,Inventory - Raw Material
29KAF82645,DEL,Delhi,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
B1CBPN7O9Z,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
2JRU8YEH08,LKO,Lucknow,Joint-Venture Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
87RADMV4KW,JAI,Jaipur,One Person Company,Property Loss,In Transit,Inventory - Raw Material
Z7Q7COMTLC,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Raw Material
NRWD4THIE7,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Sensors
EH9LSCS3TP,CJB,Coimbatore,One Person Company,Property Damage,In Transit,Inventory - Raw Material
Q5KKK4MD84,LKO,Lucknow,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
VRWBAGVG1F,THN,Thane,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
SLPPFXV5C1,PAT,Patna,Foreign Subsidary,Property Damage,In Transit,Misc. Electrical Equipment
7S6HSIX7XN,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Raw Material
XVB7Z6U986,BOM,Mumbai,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
IZ9773DNQ9,DEL,Delhi,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
JKYW3NOI21,LKO,Lucknow,Private Ltd. MSME - Medium,Property Loss,In Transit,Inventory - Raw Material
O4EP6W6DU4,BOM,Mumbai,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
XDSS5U32PZ,VSK,Visakhapatnam,Limited Liability Parterneship (LLP),Property Loss,In Transit,Inventory - Raw Material
KO18TVPA7W,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Furniture
X9NSTCQNHD,JAI,Jaipur,Private Ltd. MSME - Medium,Property Loss,In Transit,Misc. Engineering Tools
FGWF1T45UM,LKO,Lucknow,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Finished Goods
9FMTRM3X2U,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Inventory - Finished Goods
CHG63DZLFD,STV,Surat,Sole Proprietorship,Property Damage,Warehouse,Misc. Electronic Items
K856V3C5F1,DEL,Delhi,One Person Company,Property Loss,In Transit,Misc. Electronic Items
7RZJ4LGX24,AGR,Agra,Private Limited Company,Property Loss,In Transit,Furniture
BWLYAY212Q,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
1V1FQ96WCQ,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Cameras and other Misc. Security Equipment
2FAFM9MMHM,LKO,Lucknow,Private Ltd. MSME - Medium,Property Damage,In Transit,Misc. Electronic Items
QTPIEU5YTV,KNU,Kanpur,Private Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
HC86CQ3NK0,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Inventory - Raw Material
GPW7A8CU8R,BOM,Mumbai,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
DPZW733CA3,VSK,Visakhapatnam,Limited Liability Parterneship (LLP),Property Damage,Warehouse,Pumps and Motors
SU7CWP78P4,AMD,Ahmedabad,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
F5ADUBV4J0,VSK,Visakhapatnam,Non-Profit Organization (NPO),Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
5LTI2ABYUL,JAI,Jaipur,Foreign Subsidary,Property Damage,In Transit,Misc. Electronic Items
0FIVYZRLQT,DEL,Delhi,One Person Company,Property Loss,In Transit,Misc. Sensors
V67O6LJVSF,BOM,Mumbai,Limited Liability Parterneship (LLP),Property Loss,In Transit,Misc. Engineering Tools
XVHMV2EO5C,CCU,Kolkata,Sole Proprietorship,Property Loss,In Transit,Inventory - Finished Goods
68VG1NODOU,PAT,Patna,One Person Company,Property Damage,Warehouse,Misc. Electronic Items
0L4XF1ZI1K,LKO,Lucknow,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
7AC81T5HT5,DEL,Delhi,One Person Company,Property Damage,In Transit,Inventory - Finished Goods
FJCLDM8XH4,HYD,Hyderabad,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
2VMKN6E3X5,VSK,Visakhapatnam,Sole Proprietorship,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
9M8TSIGJM1,PNQ,Pune,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
V68Z69YZCD,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Furniture
XHK3KFI504,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Engineering Tools
1GBZ12WK4B,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
8XJ8O1XC9H,THN,Thane,Private Ltd. MSME - Small,Property Loss,In Transit,Misc. Engineering Tools
YAGH0ZSIIW,BLR,Bangalore,One Person Company,Property Damage,In Transit,Misc. Electronic Items
FGDUZZ02MN,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
EQ5YVRAY1N,HYD,Hyderabad,One Person Company,Property Loss,In Transit,Inventory - Raw Material
R4XV1J8JJ2,AMD,Ahmedabad,Public Limited Company,Property Loss,In Transit,Furniture
SPLUC5NLC3,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Raw Material
YQ18C5C03E,PAT,Patna,One Person Company,Property Loss,In Transit,Misc. Sensors
3P3LDSL02N,BOM,Mumbai,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
J0DSPJ4RD2,LKO,Lucknow,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
PKA3IP891N,IDR,Indore,Sole Proprietorship,Property Loss,In Transit,Fixtures
JP5ZTED4KX,BLR,Bangalore,Public Limited Company,Property Loss,Warehouse,Misc. Engineering Tools
M2F38OCC2N,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
ITRW5K1DD5,BOM,Mumbai,Private Ltd. MSME - Micro,Property Loss,In Transit,"Property, Plant, and Equipment (PPE) Parts"
T7PBKJ45OS,DEL,Delhi,Sole Proprietorship,Property Damage,Warehouse,Misc. Engineering Tools
FFYAHWBXMG,BDQ,Vadodara,Private Ltd. MSME - Medium,Property Damage,In Transit,Misc. Electronic Items
XZVZR13RDA,BOM,Mumbai,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
XQOAWGZ3HM,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
Y5NA7OBDO7,HYD,Hyderabad,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
R9BAOSWJ6R,AGR,Agra,Partnership Firm,Property Loss,In Transit,Cameras and other Misc. Security Equipment
MUXXX6SGI6,ATQ,Amritsar,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
Q3DXU7U9Q5,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Furniture
6GO1XFMWZD,BHO,Bhopal,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Engineering Tools
KQASW3NYJG,VSK,Visakhapatnam,Joint-Venture Company,Property Loss,In Transit,Misc. Electrical Equipment
7UVTE4T64N,AMD,Ahmedabad,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
1VV40XVAYT,AGR,Agra,One Person Company,Property Loss,In Transit,Furniture
1WUH1NSW8I,KNU,Kanpur,Sole Proprietorship,Property Damage,Warehouse,Misc. Engineering Tools
752034XUC5,MAA,Chennai,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
4XG56QIYPF,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Furniture
A7RIXG9AKY,THN,Thane,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
RNWKLO3JIJ,CJB,Coimbatore,Public Limited Company,Property Damage,Warehouse,Pumps and Motors
3TC85GRG1S,ATQ,Amritsar,Partnership Firm,Property Damage,In Transit,Furniture
NGXQJV4LTQ,LKO,Lucknow,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Finished Goods
VR8QTCVV64,HYD,Hyderabad,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
S03TYDW7AC,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Fixtures
TEX65X8UFL,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Misc. Electrical Equipment
L0VOLW1XMO,DEL,Delhi,One Person Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
WTZ3FPTOLT,IDR,Indore,Partnership Firm,Property Damage,Warehouse,Furniture
U9GICBVAP0,VSK,Visakhapatnam,Partnership Firm,Property Damage,In Transit,Misc. Electronic Items
DTPZVE8LTO,VSK,Visakhapatnam,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
BBN4ZDI9ZG,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Furniture
9B6AG473XN,PAT,Patna,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
R3H7XJITFU,HYD,Hyderabad,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
IHQRLSOJAP,JAI,Jaipur,Private Limited Company,Property Loss,In Transit,Inventory - Finished Goods
BY95EYWH2N,JAI,Jaipur,Partnership Firm,Property Damage,In Transit,Misc. Engineering Tools
O2G4JGRC4H,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Furniture
SE6BD9VXH4,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
YRPY0PMW3W,VSK,Visakhapatnam,Partnership Firm,Property Damage,In Transit,Misc. Electronic Items
3Q0HY8F5T0,DEL,Delhi,One Person Company,Property Damage,In Transit,Inventory - Finished Goods
QSP1LX7ZQV,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Furniture
MHFW5OU3HU,HYD,Hyderabad,Foreign Subsidary,Property Damage,Warehouse,Misc. Engineering Tools
XCTCHIG6S0,PAT,Patna,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
U8S0X6Z2KK,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Misc. Engineering Tools
OBP1F8YMHS,AGR,Agra,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
N1512V8H6C,LKO,Lucknow,Private Ltd. MSME - Medium,Property Damage,In Transit,Inventory - Finished Goods
VJWWGIL5ZU,BHO,Bhopal,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
2NBKQRJ65M,PNQ,Pune,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
8M37S79JCW,MAA,Chennai,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
7BFY8VPCIN,DEL,Delhi,Sole Proprietorship,Property Damage,Warehouse,Furniture
IBK7HHJEGK,IDR,Indore,Joint-Venture Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
MBU5IHDIC9,HYD,Hyderabad,Foreign Subsidary,Property Loss,Other,Inventory - Raw Material
XBQ6XR3L7Q,AMD,Ahmedabad,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
756OERMFQD,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,Furniture
W1CW29IX2Y,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
0EOC7QXVHM,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
U8FEC5AK9W,LKO,Lucknow,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
4BYRXYZP9P,HYD,Hyderabad,Foreign Subsidary,Property Loss,Warehouse,Misc. Sensors
TM865MU429,PNQ,Pune,Foreign Subsidary,Property Loss,In Transit,Misc. Electrical Equipment
ZOH4ACG0MM,VSK,Visakhapatnam,Joint-Venture Company,Property Loss,In Transit,Misc. Lab Equipment
UZ633936A3,THN,Thane,One Person Company,Property Damage,In Transit,Inventory - Raw Material
JLLWQHILKN,AGR,Agra,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
7EZ72BIZP5,THN,Thane,One Person Company,Property Loss,Warehouse,Pumps and Motors
J18MV5M6S8,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
4AITHHWDM1,JAI,Jaipur,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
F30YGVSDYH,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Furniture
PY5I87UDRQ,BOM,Mumbai,One Person Company,Property Damage,In Transit,Misc. Electronic Items
KFEDQQFR9G,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
MU058N1KNL,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Cameras and other Misc. Security Equipment
P592OEZEN0,KNU,Kanpur,One Person Company,Property Damage,In Transit,Misc. Electronic Items
SL847SV1SM,NSK,Nashik,Private Ltd. MSME - Medium,Property Loss,In Transit,Inventory - Raw Material
5MVQRLU4OJ,AMD,Ahmedabad,Partnership Firm,Property Damage,In Transit,Inventory - Finished Goods
8MG2LSZQWU,AGR,Agra,Partnership Firm,Property Loss,In Transit,Misc. Engineering Tools
0DUX8BUSQ8,LKO,Lucknow,Private Ltd. MSME - Small,Property Loss,In Transit,Misc. Electrical Equipment
9CQPWYZ4VY,ATQ,Amritsar,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
3MZV779H1E,PNQ,Pune,Partnership Firm,Property Loss,Warehouse,Inventory - Raw Material
N1SSXL583K,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
O1BSKY6C7L,NGP,Nagpur,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
ZQJ2ZZYZEP,NGP,Nagpur,Foreign Subsidary,Property Loss,In Transit,Misc. Electrical Equipment
Z2QX4V7UJI,LKO,Lucknow,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
SAAJTHEF1J,DEL,Delhi,Sole Proprietorship,Property Loss,Warehouse,Misc. Engineering Tools
VD6JQQ2BN8,VSK,Visakhapatnam,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
DJZMT7QP4N,MAA,Chennai,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
XWYT4X3BIE,BOM,Mumbai,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
TBVR0C1C1Z,MAA,Chennai,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
ILKUWA80GT,AGR,Agra,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
CK15E33FOE,CCU,Kolkata,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
OZLBGVBMPH,NGP,Nagpur,Joint-Venture Company,Property Damage,Warehouse,Inventory - Raw Material
BCGVVB1FCZ,CCU,Kolkata,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
QLGVVRPBTR,BOM,Mumbai,One Person Company,Property Damage,In Transit,Misc. Electrical Equipment
GV0LRI0H0T,BOM,Mumbai,Private Limited Company,Property Loss,Warehouse,Inventory - Raw Material
44DO4XG7VA,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
DTPD00WEZV,KNU,Kanpur,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
OFA36G7YKK,NSK,Nashik,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
WM8ZXPZGBA,BLR,Bangalore,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
FWVE4SAJDL,ATQ,Amritsar,Partnership Firm,Property Damage,Warehouse,Furniture
6KK30GC2GV,BDQ,Vadodara,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
T4G68ZWZUT,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Misc. Engineering Tools
Z2IPC7H48I,BLR,Bangalore,Private Ltd. MSME - Medium,Property Damage,In Transit,Inventory - Finished Goods
VI7E574116,JAI,Jaipur,Foreign Subsidary,Property Damage,In Transit,Misc. Electronic Items
AH7SX1VDFO,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
WUOQ0HO2QT,BDQ,Vadodara,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
KC837RJHR6,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
ESL0GO6Z61,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
T5ZA5K1L68,BLR,Bangalore,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
L84F79RMSM,NSK,Nashik,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
II2H8HSILN,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Misc. Lab Equipment
NQYCJBOMCY,DEL,Delhi,One Person Company,Property Damage,Warehouse,Misc. Sensors
WRZDXCYOO6,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Fixtures
BZTPATEVBH,STV,Surat,Non-Profit Organization (NPO),Property Loss,Warehouse,Fixtures
JVE7FKAMN4,AMD,Ahmedabad,Joint-Venture Company,Property Damage,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
YV3XQTMA9P,THN,Thane,One Person Company,Property Damage,In Transit,Misc. Engineering Tools
0PYIOYAZ7W,ATQ,Amritsar,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Raw Material
PK3M9LOVNT,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
HCNZWK9L6Z,JAI,Jaipur,Sole Proprietorship,Property Loss,In Transit,Inventory - Finished Goods
1D7377QB0A,ATQ,Amritsar,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
RBEL3Y99XV,IDR,Indore,Limited Liability Parterneship (LLP),Property Loss,In Transit,Inventory - Finished Goods
